feature_2,feature_3,feature_5,feature_7,feature_10,feature_13,feature_14,target,feature_1_1,feature_4_2,feature_4_3,feature_6_2,feature_6_3,feature_6_4,feature_6_5,feature_6_7,feature_6_8,feature_6_9,feature_8_1,feature_9_1,feature_11_1,feature_12_2,feature_12_3
22.08,11.46,4,1.585,0,100,1213,0,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False
22.67,7.0,8,0.165,0,160,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
29.58,1.75,4,1.25,0,280,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
21.67,11.5,5,0.0,11,0,1,1,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False
20.17,8.17,6,1.96,14,60,159,1,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False
15.83,0.585,8,1.5,2,100,1,1,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False
17.42,6.5,3,0.125,0,60,101,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
58.67,4.46,11,3.04,6,43,561,1,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False
27.83,1.0,2,3.0,0,176,538,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
55.75,7.08,4,6.75,3,100,51,0,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False
33.5,1.75,14,4.5,4,253,858,1,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False
41.42,5.0,11,5.0,6,470,1,1,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False
20.67,1.25,8,1.375,3,140,211,0,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False
34.92,5.0,14,7.5,6,0,1001,1,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False
58.58,2.71,8,2.415,0,320,1,0,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False
48.08,6.04,4,0.04,0,0,2691,1,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
29.58,4.5,9,7.5,2,330,1,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
18.92,9.0,6,0.75,2,88,592,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
20.0,1.25,4,0.125,0,140,5,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
22.42,5.665,11,2.585,7,129,3258,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
28.17,0.585,6,0.04,0,260,1005,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
19.17,0.585,6,0.585,0,160,1,0,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
41.17,1.335,2,0.165,0,168,1,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
41.58,1.75,4,0.21,0,160,1,0,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False
19.5,9.585,6,0.79,0,80,351,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
32.75,1.5,13,5.5,3,0,1,1,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False
22.5,0.125,4,0.125,0,200,71,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
33.17,3.04,8,2.04,1,180,18028,1,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False
30.67,12.0,8,2.0,1,220,20,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
23.08,2.5,8,1.085,11,60,2185,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
27.0,0.75,8,4.25,3,312,151,1,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False
20.42,10.5,14,0.0,0,154,33,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
52.33,1.375,8,9.46,0,200,101,0,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False
23.08,11.5,9,2.125,11,290,285,1,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False
42.83,1.25,7,13.875,1,352,113,0,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False
74.83,19.0,1,0.04,2,0,352,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
25.0,12.5,6,3.0,0,20,1,1,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False
39.58,13.915,9,8.625,6,70,1,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
47.75,8.0,8,7.875,6,0,1261,1,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False
47.42,3.0,14,13.875,2,519,1705,1,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False
23.17,0.0,13,0.085,0,0,1,1,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False
22.58,1.5,6,0.54,0,120,68,0,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
26.75,1.125,14,1.25,0,0,5299,1,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False
63.33,0.54,8,0.585,3,180,1,0,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
23.75,0.415,8,0.04,2,128,7,0,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False
20.75,10.25,11,0.71,2,49,1,1,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False
24.5,1.75,8,0.165,0,132,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
16.17,0.04,8,0.04,0,0,1,1,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
29.5,2.0,10,2.0,0,256,18,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
52.83,15.0,8,5.5,14,0,2201,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
32.33,3.5,4,0.5,0,232,1,0,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False
21.08,4.125,3,0.04,0,140,101,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
28.17,0.125,4,0.085,0,216,2101,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
19.0,1.75,8,2.335,0,112,7,0,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
27.58,3.25,11,5.085,2,369,2,0,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False
27.83,1.5,9,2.0,11,434,36,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
40.0,6.5,6,3.5,1,0,501,1,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False
37.33,2.5,3,0.21,0,260,247,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
42.5,4.915,9,3.165,0,52,1443,1,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False
56.75,12.25,7,1.25,4,200,1,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
43.17,5.0,3,2.25,0,141,1,0,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False
23.75,0.71,9,0.25,1,240,5,0,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False
18.5,2.0,3,1.5,2,120,301,1,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False
40.83,3.5,3,0.5,0,1160,1,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
24.5,0.5,11,1.5,0,280,825,1,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
42.0,9.79,14,7.96,8,0,1,1,True,True,False,False,False,False,False,False,True,False,True,True,False,True,False
19.5,0.165,11,0.04,0,380,1,0,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
21.5,11.5,3,0.5,0,100,69,0,True,True,False,False,False,True,False,False,False,False,True,False,True,True,False
31.25,2.835,1,0.0,5,176,147,0,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False
27.25,1.585,13,1.835,12,583,714,1,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False
48.75,26.335,1,0.0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
30.42,1.375,9,0.04,3,0,34,0,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
29.42,1.25,9,1.75,0,200,1,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
28.25,5.04,8,1.5,8,144,8,1,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False
40.25,21.5,10,20.0,11,0,1201,1,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False
36.5,4.25,11,3.5,0,454,51,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
25.58,0.335,4,3.5,0,340,1,0,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False
29.83,3.5,8,0.165,0,216,1,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
23.08,0.0,4,1.0,11,0,1,0,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False
32.17,1.46,9,1.085,16,120,2080,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
25.17,3.5,13,0.625,7,0,7060,1,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False
35.17,3.75,1,0.0,6,0,201,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
18.58,10.0,2,0.415,0,80,43,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
39.92,5.0,3,0.21,0,550,1,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
23.42,1.0,8,0.5,0,280,1,0,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
37.58,0.0,8,0.0,0,184,1,1,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True
24.75,13.665,11,1.5,0,280,2,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
47.0,13.0,3,5.165,9,0,1,1,False,True,False,False,False,False,True,False,False,False,True,True,True,True,False
34.17,5.25,9,0.085,0,290,7,1,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False
22.17,0.585,1,0.0,0,100,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
27.75,1.29,4,0.25,0,140,1,0,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False
42.75,4.085,6,0.04,0,108,101,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
28.67,14.5,2,0.125,0,0,287,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
36.25,5.0,8,2.5,6,0,368,1,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False
18.17,10.0,11,0.165,0,340,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
21.25,1.5,9,1.5,0,150,9,1,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
38.92,1.665,6,0.25,0,0,391,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
31.83,0.04,7,0.04,0,0,1,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
17.33,9.5,6,1.75,10,0,11,0,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False
20.42,0.835,11,1.585,1,0,1,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
39.08,4.0,8,3.0,0,480,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
38.67,0.21,4,0.085,0,280,1,1,True,True,False,False,False,True,False,False,False,False,True,False,True,True,False
27.67,13.75,9,5.75,0,487,501,1,True,True,False,False,False,True,False,False,False,False,True,False,True,True,False
27.75,0.585,13,0.25,2,260,501,1,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False
19.0,0.0,1,0.0,4,45,2,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
25.0,0.875,14,1.04,0,160,5861,1,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False
27.67,2.0,14,1.0,4,140,7545,1,True,True,False,False,False,False,False,False,True,False,True,True,False,True,False
22.25,9.0,6,0.085,0,0,1,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
49.83,13.585,4,8.5,0,0,1,1,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False
32.33,2.5,8,1.25,0,280,1,0,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False
38.25,10.125,4,0.125,0,160,1,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
47.33,6.5,8,1.0,0,0,229,0,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False
27.83,4.0,3,5.75,2,75,1,0,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False
35.75,0.915,6,0.75,4,0,1584,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
33.58,0.25,3,4.0,0,420,1,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
34.08,0.08,7,0.04,1,280,2001,1,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False
20.75,10.335,13,0.335,1,80,51,1,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False
33.17,1.0,14,0.75,7,340,4072,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
22.75,11.0,11,2.5,7,100,810,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
48.75,8.5,8,12.5,9,181,1656,1,True,True,False,False,False,False,False,False,True,False,True,True,False,True,False
40.58,5.0,8,5.0,7,0,3066,1,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False
20.67,0.835,8,2.0,0,240,1,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
38.75,1.5,1,0.0,0,76,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
57.08,19.5,8,5.5,7,0,3001,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
31.25,3.75,13,0.625,9,181,1,1,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False
22.0,0.79,9,0.29,1,420,284,0,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False
58.33,10.0,11,4.0,14,0,1603,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
28.92,0.375,8,0.29,0,220,141,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
46.0,4.0,5,0.0,0,100,961,1,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
21.0,3.0,2,1.085,8,160,2,1,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
24.75,12.5,6,1.5,12,120,568,1,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False
20.83,0.5,10,1.0,0,260,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
24.58,13.5,1,0.0,0,184,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
26.5,2.71,8,0.085,0,80,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
40.92,0.835,1,0.0,0,130,2,0,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False
38.33,4.415,8,0.125,0,160,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
19.58,0.585,1,0.0,3,350,770,0,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False
39.25,9.5,7,6.5,14,240,4608,1,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False
25.75,0.5,8,1.46,5,312,1,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
46.08,3.0,8,2.375,8,396,4160,1,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False
19.67,10.0,4,0.835,0,140,1,0,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False
22.25,1.25,1,3.25,0,280,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
18.83,3.54,1,0.0,0,180,2,0,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
64.08,20.0,14,17.5,9,0,1001,1,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False
16.5,1.25,11,0.25,1,108,99,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
68.67,15.0,10,0.0,14,0,3377,1,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False
76.75,22.29,10,12.75,1,0,110,1,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False
15.92,2.875,11,0.085,0,120,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
34.83,4.0,2,12.5,0,184,1,0,True,True,False,False,False,False,True,False,False,False,True,False,True,True,False
47.42,8.0,10,6.5,6,375,51101,1,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False
23.17,0.0,8,0.0,0,184,1,1,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True
45.17,1.5,8,2.5,0,140,1,0,True,True,False,False,False,True,False,False,False,False,True,False,True,True,False
15.17,7.0,10,1.0,0,600,1,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
18.83,0.415,8,0.165,1,200,2,0,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False
52.5,6.5,4,6.29,15,0,11203,1,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False
19.17,0.0,7,0.0,0,500,2,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
18.0,0.165,11,0.21,0,200,41,1,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False
37.5,0.835,10,0.04,0,120,6,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
22.67,1.585,9,3.085,6,80,1,1,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False
47.83,4.165,14,0.085,0,520,1,0,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False
34.08,2.5,8,1.0,0,460,17,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
33.08,1.625,2,0.54,0,0,1,0,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
43.08,0.375,8,0.375,8,300,163,1,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
34.5,4.04,3,8.5,7,195,1,1,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False
42.75,3.0,3,1.0,0,0,201,0,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False
18.25,0.165,2,0.25,0,280,1,0,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
23.08,2.5,1,0.085,0,100,4209,0,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False
22.5,8.46,14,2.46,0,164,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
17.92,0.205,6,0.04,0,280,751,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
18.42,10.415,6,0.125,0,120,376,0,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False
27.67,1.5,7,2.0,0,368,1,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
18.92,9.25,8,1.0,4,80,501,1,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False
22.67,0.75,3,1.585,1,400,10,0,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False
62.5,12.75,8,5.0,0,112,1,0,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False
23.5,9.0,11,8.5,5,120,1,1,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False
35.25,3.165,14,3.75,0,680,1,0,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False
56.83,4.25,1,5.0,0,0,5,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
53.33,0.165,1,0.0,0,62,28,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
41.17,4.04,13,7.0,8,320,1,1,True,True,False,False,False,False,False,False,True,False,True,True,False,True,False
42.17,5.04,11,12.75,0,92,1,1,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False
41.17,1.25,9,0.25,0,0,196,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
33.75,0.75,4,1.0,3,212,1,0,False,True,False,False,False,False,True,False,False,False,True,True,True,True,False
25.67,12.5,13,1.21,67,140,259,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
24.33,6.625,2,5.5,0,100,1,1,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
23.33,11.625,9,0.835,0,160,301,1,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False
30.67,2.5,13,2.25,0,340,1,0,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False
37.17,4.0,8,5.0,0,280,1,0,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False
26.25,1.54,9,0.125,0,100,1,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
29.75,0.665,9,0.25,0,300,1,0,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
23.0,1.835,5,0.0,1,200,54,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False
17.25,3.0,4,0.04,0,160,41,0,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False
29.25,14.79,6,5.04,5,168,1,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
28.58,3.54,3,0.5,0,171,1,0,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False
34.58,0.0,8,0.0,0,184,1,0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True
23.42,0.585,8,0.085,0,180,1,0,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False
25.0,11.25,8,2.5,17,200,1209,1,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False
18.75,7.5,11,2.71,5,184,26727,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
17.08,0.25,11,0.335,4,160,9,0,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False
16.08,0.335,1,0.0,1,160,127,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
32.92,2.5,6,1.75,2,720,1,0,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False
20.33,10.0,8,1.0,4,50,1466,1,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False
21.75,1.75,5,0.0,0,160,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
33.17,1.04,12,6.5,0,164,31286,1,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False
25.33,2.085,8,2.75,0,360,2,0,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False
24.75,3.0,11,1.835,19,0,501,1,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False
30.83,0.0,9,1.25,1,202,1,1,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False
20.75,5.085,5,0.29,0,140,185,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
40.33,8.125,4,0.165,2,184,19,0,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
29.42,1.25,8,0.25,2,400,109,0,True,True,False,False,False,False,False,False,True,False,False,True,True,True,False
40.92,0.5,7,0.5,0,130,1,0,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
29.5,0.46,4,0.54,4,380,501,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
54.42,0.5,4,3.96,0,180,315,1,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False
34.0,5.5,8,1.5,0,60,1,0,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
25.0,12.0,4,2.25,2,120,6,0,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
26.58,2.54,1,0.0,0,180,61,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
33.08,4.625,11,1.625,2,0,1,1,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False
33.67,2.165,8,1.5,0,120,1,0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True
36.17,5.5,3,5.0,0,210,688,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
19.5,0.29,4,0.29,0,280,365,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
24.17,0.875,11,4.625,2,520,2001,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
30.5,6.5,8,4.0,7,0,3066,1,False,True,False,False,False,False,True,False,False,False,True,True,True,True,False
20.0,7.0,8,0.5,0,0,1,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
25.33,0.58,8,0.29,7,96,5125,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
29.58,4.75,7,2.0,1,460,69,0,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False
43.17,2.25,3,0.75,0,560,1,0,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False
28.75,1.165,4,0.5,0,280,1,0,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
31.57,3.0,3,7.0,0,0,2,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
20.25,9.96,10,0.0,0,0,1,1,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False
